date_time,series,value
2023-06-13 11:26:47,spec2,1033
2023-06-13 11:26:47,spec19,1043
2023-06-13 11:26:47,spec20,1045
2023-06-13 11:26:47,spec21,1046
2023-06-13 11:26:47,spec22,1046
2023-06-13 11:26:47,spec23,1046
2023-06-13 11:26:47,spec24,1045
2023-06-13 11:26:47,spec25,1041
2023-06-13 11:26:47,spec18,1038
2023-06-13 11:26:47,spec10,1025
2023-06-13 11:26:47,spec1,1036
2023-06-13 11:26:47,spec3,1031
2023-06-13 11:26:47,spec4,1030
2023-06-13 11:26:47,spec5,1029
2023-06-13 11:26:47,spec6,1027
2023-06-13 11:26:47,spec7,1026
2023-06-13 11:26:47,spec8,1026
2023-06-13 11:26:47,spec9,1026
2023-06-13 11:26:47,spec11,1024
2023-06-13 11:26:47,spec12,1024
2023-06-13 11:26:47,spec13,1026
2023-06-13 11:26:47,spec14,1027
2023-06-13 11:26:47,spec15,1029
2023-06-13 11:26:47,spec16,1031
2023-06-13 11:26:47,spec17,1034
2023-06-13 11:28:38,spec14,1032
2023-06-13 11:28:38,spec1,1036
2023-06-13 11:28:38,spec2,1035
2023-06-13 11:28:38,spec3,1035
2023-06-13 11:28:38,spec4,1033
2023-06-13 11:28:38,spec5,1031
2023-06-13 11:28:38,spec6,1030
2023-06-13 11:28:38,spec7,1029
2023-06-13 11:28:38,spec8,1028
2023-06-13 11:28:38,spec9,1028
2023-06-13 11:28:38,spec10,1026
2023-06-13 11:28:38,spec11,1026
2023-06-13 11:28:38,spec12,1027
2023-06-13 11:28:38,spec13,1030
2023-06-13 11:28:38,spec15,1034
2023-06-13 11:28:38,spec16,1036
2023-06-13 11:28:38,spec17,1039
2023-06-13 11:28:38,spec18,1041
2023-06-13 11:28:38,spec19,1045
2023-06-13 11:28:38,spec20,1048
2023-06-13 11:28:38,spec21,1051
2023-06-13 11:28:38,spec22,1052
2023-06-13 11:28:38,spec23,1050
2023-06-13 11:28:38,spec24,1047
2023-06-13 11:28:38,spec25,1043
2023-06-13 11:30:30,spec14,1037
2023-06-13 11:30:30,spec25,1054
2023-06-13 11:30:30,spec24,1057
2023-06-13 11:30:30,spec23,1059
2023-06-13 11:30:30,spec22,1061
2023-06-13 11:30:30,spec21,1060
2023-06-13 11:30:30,spec20,1058
2023-06-13 11:30:30,spec19,1055
2023-06-13 11:30:30,spec18,1052
2023-06-13 11:30:30,spec17,1049
2023-06-13 11:30:30,spec16,1045
2023-06-13 11:30:30,spec15,1041
2023-06-13 11:30:30,spec13,1035
2023-06-13 11:30:30,spec12,1035
2023-06-13 11:30:30,spec11,1035
2023-06-13 11:30:30,spec10,1035
2023-06-13 11:30:30,spec9,1035
2023-06-13 11:30:30,spec8,1036
2023-06-13 11:30:30,spec7,1037
2023-06-13 11:30:30,spec6,1039
2023-06-13 11:30:30,spec5,1041
2023-06-13 11:30:30,spec4,1042
2023-06-13 11:30:30,spec3,1043
2023-06-13 11:30:30,spec2,1045
2023-06-13 11:30:30,spec1,1047
2023-06-13 11:32:22,spec18,1050
2023-06-13 11:32:22,spec19,1052
2023-06-13 11:32:22,spec20,1055
2023-06-13 11:32:22,spec21,1059
2023-06-13 11:32:22,spec22,1060
2023-06-13 11:32:22,spec23,1059
2023-06-13 11:32:22,spec24,1056
